date;wp1;wp2;wp3;wp4;wp5;wp6
2011010101;0;0;0;0;0;0
2011010102;0;0;0;0;0;0
2011010103;0;0;0;0;0;0
2011010104;0;0;0;0;0;0
2011010105;0;0;0;0;0;0
2011010106;0;0;0;0;0;0
2011010107;0;0;0;0;0;0
2011010108;0;0;0;0;0;0
2011010109;0;0;0;0;0;0
2011010110;0;0;0;0;0;0
2011010111;0;0;0;0;0;0
2011010112;0;0;0;0;0;0
2011010113;0;0;0;0;0;0
2011010114;0;0;0;0;0;0
2011010115;0;0;0;0;0;0
2011010116;0;0;0;0;0;0
2011010117;0;0;0;0;0;0
2011010118;0;0;0;0;0;0
2011010119;0;0;0;0;0;0
2011010120;0;0;0;0;0;0
2011010121;0;0;0;0;0;0
2011010122;0;0;0;0;0;0
2011010123;0;0;0;0;0;0
2011010200;0;0;0;0;0;0
2011010201;0;0;0;0;0;0
2011010202;0;0;0;0;0;0
2011010203;0;0;0;0;0;0
2011010204;0;0;0;0;0;0
2011010205;0;0;0;0;0;0
2011010206;0;0;0;0;0;0
2011010207;0;0;0;0;0;0
2011010208;0;0;0;0;0;0
2011010209;0;0;0;0;0;0
2011010210;0;0;0;0;0;0
2011010211;0;0;0;0;0;0
2011010212;0;0;0;0;0;0
2011010213;0;0;0;0;0;0
2011010214;0;0;0;0;0;0
2011010215;0;0;0;0;0;0
2011010216;0;0;0;0;0;0
2011010217;0;0;0;0;0;0
2011010218;0;0;0;0;0;0
2011010219;0;0;0;0;0;0
2011010220;0;0;0;0;0;0
2011010221;0;0;0;0;0;0
2011010222;0;0;0;0;0;0
2011010223;0;0;0;0;0;0
2011010300;0;0;0;0;0;0
2011010413;0;0;0;0;0;0
2011010414;0;0;0;0;0;0
2011010415;0;0;0;0;0;0
2011010416;0;0;0;0;0;0
2011010417;0;0;0;0;0;0
2011010418;0;0;0;0;0;0
2011010419;0;0;0;0;0;0
2011010420;0;0;0;0;0;0
2011010421;0;0;0;0;0;0
2011010422;0;0;0;0;0;0
2011010423;0;0;0;0;0;0
2011010500;0;0;0;0;0;0
2011010501;0;0;0;0;0;0
2011010502;0;0;0;0;0;0
2011010503;0;0;0;0;0;0
2011010504;0;0;0;0;0;0
2011010505;0;0;0;0;0;0
2011010506;0;0;0;0;0;0
2011010507;0;0;0;0;0;0
2011010508;0;0;0;0;0;0
2011010509;0;0;0;0;0;0
2011010510;0;0;0;0;0;0
2011010511;0;0;0;0;0;0
2011010512;0;0;0;0;0;0
2011010513;0;0;0;0;0;0
2011010514;0;0;0;0;0;0
2011010515;0;0;0;0;0;0
2011010516;0;0;0;0;0;0
2011010517;0;0;0;0;0;0
2011010518;0;0;0;0;0;0
2011010519;0;0;0;0;0;0
2011010520;0;0;0;0;0;0
2011010521;0;0;0;0;0;0
2011010522;0;0;0;0;0;0
2011010523;0;0;0;0;0;0
