date,wp1,wp2,wp3,wp4,wp5,wp6
2009070100,0.051,0.056,0.233,0.105,0.494,0.045
2009070101,0.051,0.066,0.249,0.105,0.257,0.085
2009070102,0.0,0.015,0.175,0.033,0.178,0.02
2009070103,0.0,0.01,0.085,0.022,0.109,0.06
2009070104,0.0,0.01,0.032,0.039,0.079,0.045
2009070105,0.0,0.015,0.011,0.066,0.099,0.035
2009070106,0.0,0.015,0.0,0.105,0.069,0.005
2009070107,0.025,0.025,0.011,0.017,0.0,0.0
2009070108,0.0,0.046,0.016,0.017,0.0,0.0
2009070109,0.0,0.081,0.0,0.006,0.0,0.01
2009070110,0.0,0.101,0.005,0.0,0.0,0.025
2009070111,0.0,0.111,0.021,0.0,0.0,0.03
2009070112,0.0,0.121,0.021,0.0,0.0,0.01
2009070113,0.0,0.111,0.026,0.0,0.0,0.0
2009070114,0.0,0.137,0.021,0.0,0.0,0.01
2009070115,0.0,0.106,0.016,0.0,0.0,0.0
2009070116,0.0,0.086,0.021,0.0,0.0,0.0
2009070117,0.0,0.056,0.016,0.0,0.0,0.0
2009070118,0.0,0.03,0.032,0.0,0.0,0.005
2009070119,0.0,0.02,0.037,0.017,0.0,0.0
2009070120,0.0,0.0,0.048,0.05,0.0,0.0
2009070121,0.0,0.005,0.058,0.033,0.0,0.0
2009070122,0.0,0.005,0.09,0.044,0.0,0.005
2009070123,0.0,0.01,0.127,0.0,0.0,0.015
2009070200,0.0,0.0,0.164,0.0,0.0,0.0
2009070201,0.0,0.0,0.138,0.0,0.01,0.0
2009070202,0.0,0.0,0.116,0.0,0.02,0.01
2009070203,0.0,0.0,0.079,0.0,0.02,0.01
2009070204,0.0,0.0,0.074,0.0,0.0,0.0
2009070205,0.0,0.02,0.063,0.0,0.0,0.0
2009070206,0.0,0.015,0.074,0.0,0.0,0.0
2009070207,0.0,0.005,0.058,0.0,0.0,0.0
2009070208,0.0,0.0,0.053,0.0,0.0,0.0
2009070209,0.0,0.0,0.058,0.0,0.02,0.015
2009070210,0.0,0.0,0.053,0.0,0.049,0.03
2009070211,0.0,0.0,0.101,0.0,0.04,0.01
2009070212,0.0,0.0,0.074,0.0,0.059,0.0
2009070213,0.0,0.0,0.058,0.0,0.079,0.0
2009070214,0.0,0.0,0.085,0.0,0.079,0.0
2009070215,0.0,0.0,0.085,0.0,0.099,0.0
2009070216,0.0,0.0,0.116,0.039,0.099,0.01
2009070217,0.025,0.0,0.143,0.05,0.099,0.01
2009070218,0.0,0.005,0.175,0.055,0.099,0.01
2009070219,0.025,0.0,0.175,0.105,0.178,0.01
2009070220,0.076,0.0,0.201,0.088,0.247,0.01
2009070221,0.076,0.0,0.222,0.066,0.178,0.08
2009070222,0.0,0.0,0.291,0.011,0.237,0.025
2009070223,0.0,0.005,0.444,0.0,0.366,0.08
2009070300,0.0,0.0,0.386,0.0,0.415,0.201
2009070301,0.0,0.005,0.397,0.0,0.267,0.12
2009070302,0.0,0.005,0.296,0.0,0.138,0.035
2009070303,0.0,0.02,0.259,0.0,0.128,0.05
2009070304,0.0,0.015,0.206,0.0,0.178,0.08
2009070305,0.0,0.035,0.122,0.039,0.267,0.065
2009070306,0.354,0.046,0.101,0.072,0.227,0.14
2009070307,0.682,0.03,0.106,0.143,0.208,0.08
2009070308,0.429,0.03,0.138,0.154,0.178,0.055
2009070309,0.303,0.046,0.069,0.072,0.158,0.025
2009070310,0.227,0.071,0.053,0.171,0.168,0.04
2009070311,0.429,0.071,0.085,0.176,0.138,0.1
2009070312,0.354,0.091,0.069,0.094,0.099,0.175
2009070313,0.253,0.121,0.106,0.055,0.148,0.13
2009070314,0.152,0.126,0.143,0.066,0.168,0.095
2009070315,0.177,0.066,0.127,0.105,0.267,0.095
2009070316,0.354,0.106,0.159,0.347,0.336,0.19
2009070317,0.278,0.157,0.259,0.573,0.237,0.221
2009070318,0.152,0.238,0.455,0.441,0.099,0.226
